Index,Title,Summary,Sentiment,Entity,Label
1,Sara Sharif family court judges named after appeal,Judges who oversaw Family Court hearings before Sara was murdered have been named after an appeal by the BBC and others.,-0.4166666666666667,Australia,GPE
1,Sara Sharif family court judges named after appeal,Judges who oversaw Family Court hearings before Sara was murdered have been named after an appeal by the BBC and others.,-0.4166666666666667,England,GPE
1,Sara Sharif family court judges named after appeal,Judges who oversaw Family Court hearings before Sara was murdered have been named after an appeal by the BBC and others.,-0.4166666666666667,Australia,GPE
1,Sara Sharif family court judges named after appeal,Judges who oversaw Family Court hearings before Sara was murdered have been named after an appeal by the BBC and others.,-0.4166666666666667,Annabel Sutherland,ORG
1,Sara Sharif family court judges named after appeal,Judges who oversaw Family Court hearings before Sara was murdered have been named after an appeal by the BBC and others.,-0.4166666666666667,163,CARDINAL
1,Sara Sharif family court judges named after appeal,Judges who oversaw Family Court hearings before Sara was murdered have been named after an appeal by the BBC and others.,-0.4166666666666667,England,GPE
1,Sara Sharif family court judges named after appeal,Judges who oversaw Family Court hearings before Sara was murdered have been named after an appeal by the BBC and others.,-0.4166666666666667,seven,CARDINAL
1,Sara Sharif family court judges named after appeal,Judges who oversaw Family Court hearings before Sara was murdered have been named after an appeal by the BBC and others.,-0.4166666666666667,day two,DATE
1,Sara Sharif family court judges named after appeal,Judges who oversaw Family Court hearings before Sara was murdered have been named after an appeal by the BBC and others.,-0.4166666666666667,one,CARDINAL
1,Sara Sharif family court judges named after appeal,Judges who oversaw Family Court hearings before Sara was murdered have been named after an appeal by the BBC and others.,-0.4166666666666667,Women's Ashes Test,WORK_OF_ART
1,Sara Sharif family court judges named after appeal,Judges who oversaw Family Court hearings before Sara was murdered have been named after an appeal by the BBC and others.,-0.4166666666666667,Melbourne,GPE
2,Woman's body found in search for missing sisters last seen in Aberdeen,Police say the family of Henrietta Huszti has been informed and the search for her sister Eliza continues.,-0.4166666666666667,Australia,GPE
2,Woman's body found in search for missing sisters last seen in Aberdeen,Police say the family of Henrietta Huszti has been informed and the search for her sister Eliza continues.,-0.4166666666666667,England,GPE
2,Woman's body found in search for missing sisters last seen in Aberdeen,Police say the family of Henrietta Huszti has been informed and the search for her sister Eliza continues.,-0.4166666666666667,Australia,GPE
2,Woman's body found in search for missing sisters last seen in Aberdeen,Police say the family of Henrietta Huszti has been informed and the search for her sister Eliza continues.,-0.4166666666666667,Annabel Sutherland,ORG
2,Woman's body found in search for missing sisters last seen in Aberdeen,Police say the family of Henrietta Huszti has been informed and the search for her sister Eliza continues.,-0.4166666666666667,163,CARDINAL
2,Woman's body found in search for missing sisters last seen in Aberdeen,Police say the family of Henrietta Huszti has been informed and the search for her sister Eliza continues.,-0.4166666666666667,England,GPE
2,Woman's body found in search for missing sisters last seen in Aberdeen,Police say the family of Henrietta Huszti has been informed and the search for her sister Eliza continues.,-0.4166666666666667,seven,CARDINAL
2,Woman's body found in search for missing sisters last seen in Aberdeen,Police say the family of Henrietta Huszti has been informed and the search for her sister Eliza continues.,-0.4166666666666667,day two,DATE
2,Woman's body found in search for missing sisters last seen in Aberdeen,Police say the family of Henrietta Huszti has been informed and the search for her sister Eliza continues.,-0.4166666666666667,one,CARDINAL
2,Woman's body found in search for missing sisters last seen in Aberdeen,Police say the family of Henrietta Huszti has been informed and the search for her sister Eliza continues.,-0.4166666666666667,Women's Ashes Test,WORK_OF_ART
2,Woman's body found in search for missing sisters last seen in Aberdeen,Police say the family of Henrietta Huszti has been informed and the search for her sister Eliza continues.,-0.4166666666666667,Melbourne,GPE
3,"Teenage skaters, a young pilot and a professor - the victims of DC plane crash",The victims of the mid-air collision include dedicated flight attendants and talented ice skaters.,-0.4166666666666667,Australia,GPE
3,"Teenage skaters, a young pilot and a professor - the victims of DC plane crash",The victims of the mid-air collision include dedicated flight attendants and talented ice skaters.,-0.4166666666666667,England,GPE
3,"Teenage skaters, a young pilot and a professor - the victims of DC plane crash",The victims of the mid-air collision include dedicated flight attendants and talented ice skaters.,-0.4166666666666667,Australia,GPE
3,"Teenage skaters, a young pilot and a professor - the victims of DC plane crash",The victims of the mid-air collision include dedicated flight attendants and talented ice skaters.,-0.4166666666666667,Annabel Sutherland,ORG
3,"Teenage skaters, a young pilot and a professor - the victims of DC plane crash",The victims of the mid-air collision include dedicated flight attendants and talented ice skaters.,-0.4166666666666667,163,CARDINAL
3,"Teenage skaters, a young pilot and a professor - the victims of DC plane crash",The victims of the mid-air collision include dedicated flight attendants and talented ice skaters.,-0.4166666666666667,England,GPE
3,"Teenage skaters, a young pilot and a professor - the victims of DC plane crash",The victims of the mid-air collision include dedicated flight attendants and talented ice skaters.,-0.4166666666666667,seven,CARDINAL
3,"Teenage skaters, a young pilot and a professor - the victims of DC plane crash",The victims of the mid-air collision include dedicated flight attendants and talented ice skaters.,-0.4166666666666667,day two,DATE
3,"Teenage skaters, a young pilot and a professor - the victims of DC plane crash",The victims of the mid-air collision include dedicated flight attendants and talented ice skaters.,-0.4166666666666667,one,CARDINAL
3,"Teenage skaters, a young pilot and a professor - the victims of DC plane crash",The victims of the mid-air collision include dedicated flight attendants and talented ice skaters.,-0.4166666666666667,Women's Ashes Test,WORK_OF_ART
3,"Teenage skaters, a young pilot and a professor - the victims of DC plane crash",The victims of the mid-air collision include dedicated flight attendants and talented ice skaters.,-0.4166666666666667,Melbourne,GPE
4,Prince Andrew emails show contact with Epstein lasted beyond 2010,Court documents suggest the two remained in touch beyond when the Duke of York said they stopped communicating.,-0.4166666666666667,Australia,GPE
4,Prince Andrew emails show contact with Epstein lasted beyond 2010,Court documents suggest the two remained in touch beyond when the Duke of York said they stopped communicating.,-0.4166666666666667,England,GPE
4,Prince Andrew emails show contact with Epstein lasted beyond 2010,Court documents suggest the two remained in touch beyond when the Duke of York said they stopped communicating.,-0.4166666666666667,Australia,GPE
4,Prince Andrew emails show contact with Epstein lasted beyond 2010,Court documents suggest the two remained in touch beyond when the Duke of York said they stopped communicating.,-0.4166666666666667,Annabel Sutherland,ORG
4,Prince Andrew emails show contact with Epstein lasted beyond 2010,Court documents suggest the two remained in touch beyond when the Duke of York said they stopped communicating.,-0.4166666666666667,163,CARDINAL
4,Prince Andrew emails show contact with Epstein lasted beyond 2010,Court documents suggest the two remained in touch beyond when the Duke of York said they stopped communicating.,-0.4166666666666667,England,GPE
4,Prince Andrew emails show contact with Epstein lasted beyond 2010,Court documents suggest the two remained in touch beyond when the Duke of York said they stopped communicating.,-0.4166666666666667,seven,CARDINAL
4,Prince Andrew emails show contact with Epstein lasted beyond 2010,Court documents suggest the two remained in touch beyond when the Duke of York said they stopped communicating.,-0.4166666666666667,day two,DATE
4,Prince Andrew emails show contact with Epstein lasted beyond 2010,Court documents suggest the two remained in touch beyond when the Duke of York said they stopped communicating.,-0.4166666666666667,one,CARDINAL
4,Prince Andrew emails show contact with Epstein lasted beyond 2010,Court documents suggest the two remained in touch beyond when the Duke of York said they stopped communicating.,-0.4166666666666667,Women's Ashes Test,WORK_OF_ART
4,Prince Andrew emails show contact with Epstein lasted beyond 2010,Court documents suggest the two remained in touch beyond when the Duke of York said they stopped communicating.,-0.4166666666666667,Melbourne,GPE
5,English farmland could be cut by 9% to hit green targets,The government's launches a consultation on converting farmland to woodland and wild habitats.,-0.4166666666666667,Australia,GPE
5,English farmland could be cut by 9% to hit green targets,The government's launches a consultation on converting farmland to woodland and wild habitats.,-0.4166666666666667,England,GPE
5,English farmland could be cut by 9% to hit green targets,The government's launches a consultation on converting farmland to woodland and wild habitats.,-0.4166666666666667,Australia,GPE
5,English farmland could be cut by 9% to hit green targets,The government's launches a consultation on converting farmland to woodland and wild habitats.,-0.4166666666666667,Annabel Sutherland,ORG
5,English farmland could be cut by 9% to hit green targets,The government's launches a consultation on converting farmland to woodland and wild habitats.,-0.4166666666666667,163,CARDINAL
5,English farmland could be cut by 9% to hit green targets,The government's launches a consultation on converting farmland to woodland and wild habitats.,-0.4166666666666667,England,GPE
5,English farmland could be cut by 9% to hit green targets,The government's launches a consultation on converting farmland to woodland and wild habitats.,-0.4166666666666667,seven,CARDINAL
5,English farmland could be cut by 9% to hit green targets,The government's launches a consultation on converting farmland to woodland and wild habitats.,-0.4166666666666667,day two,DATE
5,English farmland could be cut by 9% to hit green targets,The government's launches a consultation on converting farmland to woodland and wild habitats.,-0.4166666666666667,one,CARDINAL
5,English farmland could be cut by 9% to hit green targets,The government's launches a consultation on converting farmland to woodland and wild habitats.,-0.4166666666666667,Women's Ashes Test,WORK_OF_ART
5,English farmland could be cut by 9% to hit green targets,The government's launches a consultation on converting farmland to woodland and wild habitats.,-0.4166666666666667,Melbourne,GPE
6,Faisal Islam: The 'Iron Chancellor' will have to flex to get the growth she wants,"In choppy global seas, going for growth is going to require some tricky navigation - and it will make big domestic political waves too",-0.4166666666666667,Australia,GPE
6,Faisal Islam: The 'Iron Chancellor' will have to flex to get the growth she wants,"In choppy global seas, going for growth is going to require some tricky navigation - and it will make big domestic political waves too",-0.4166666666666667,England,GPE
6,Faisal Islam: The 'Iron Chancellor' will have to flex to get the growth she wants,"In choppy global seas, going for growth is going to require some tricky navigation - and it will make big domestic political waves too",-0.4166666666666667,Australia,GPE
6,Faisal Islam: The 'Iron Chancellor' will have to flex to get the growth she wants,"In choppy global seas, going for growth is going to require some tricky navigation - and it will make big domestic political waves too",-0.4166666666666667,Annabel Sutherland,ORG
